"Factor ID","Internal SKU (Dutch)","Internal SKU (NOR)","Internal SKU (DE)","Meal Name","Meal Descriptor","Dutch name","Dutch Descriptor","Danish name","DE Name","BF Code","BF Name","Internal SKU Name","Internal Nordics SKU Name","Internal DE SKU Name","STATUS","STATUS NOTES","TOTAL PC1 COST","Last 3 Runs","US L3 Run Ratings","# of Ratings","LAST WEEK RAN","TOTAL TIMES RAN","MEAL WEIGHT (g)","CALORIES","FAT (g)","SAT FAT (g)","CARBS (g)","SUGARS (g)","FIBER (g)","PROTEIN (g)","SALT (g)","SPICY?","KETO","CALORIE SMART
(Caloriebewust)","CHEF'S CHOICE (not to tag)","VEGGIE","VEGAN","PROTEIN PLUS
(Eiwitrijk)","LACTOSE FREE","PORK FREE","PROTEIN TYPE","PROTEIN (GENERAL)","PROTEIN (TYPE)","SIDE 1","SIDE 2","SIDE 3","SIDE 4 / GARNISH","SEASONALITY","CUISINE","Reason for Slot + Details","CONTAINER","Cup","INGREDIENT COST","LABOR COST","PACKAGING COST","COMAN MARKUP","Import Scores Combined","BNL","NOR","Vegetable Quantity (Cooked)","Salmon","kJ","R&D type","Swedish name","DE","MAX MEAL COST","ENERGIE (kJ/100g)","ENERGY
(Kcal/100g)","FAT (g/100g)","SAT FAT (g/100g)","CARBS (g/100g)","SUGARS (g/100g)","FIBER (g/100g)","PROTEIN (g/100g)","SALT (g/100g)","Bonfait Testing Status"
"FE0899A","CON-40-148198-4","CON-00-148195-2","CON-00-148194-2","Santa Fe pulled chicken & queso","with roasted cabbage, courgette and enchilada sauce","Santa Fe pulled chicken & queso","met geroosterde kool, courgette en enchiladasaus ","Santa Fe-inspireret pulled kylling med queso-os","Santa Fe Pulled Chicken mit Queso","565159","HF Santa Fe chicken queso","FA-NL Santa Fe pulled chicken & queso (FE0899)","FA-NO Santa Fe-inspireret pulled kylling med queso-os (FE0899)","FA-DE Santa Fe Pulled Chicken mit Queso (FE0899)","Active","","€4.96","","","","","TRUE","389","678.0","50.70","19.4","14.4","9.7","7.3","37.80","2.04","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Shredded chicken","Chicken","Thigh","Cabbage","Creamy Sauce Base","Zucchini Diced","Other sauce","Year Round","Mexican","","2 CT","TRUE","","","","€0.89","2.92","2.88","2.69","167","FALSE","2,827.0","","","","","","Hospital","FALSE","FALSE","","","","","",""
"FE0794D","CON-40-147981-4","CON-00-150821-2","CON-00-147983-2","Loaded Bacon Shredded Chicken","with spinach, green beans and ranchdressing","Loaded pulled chicken & spek","met spinazie, sperziebonen en ranchdressing ","Pulled chicken med bacon","Pulled Chicken mit Bacon","565156","HF Loaded Bacon Chicken","FA-NL Loaded pulled chicken & spek (FE0794)","FA-NO Pulled chicken med bacon (FE0794)","FA-DE Pulled Chicken mit Bacon (FE0794)","Active","","€4.15","","","","","TRUE","361","573.0","42.40","17.2","10.1","6.8","6.9","35.10","2.00","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Shredded chicken","Chicken","Thigh","Green Beans","Bacon","","","Year Round","American","","2 CT","TRUE","","","","€0.89","3.04","2.91","3.02","151","FALSE","2,383.0","","","","","","Hospital","FALSE","FALSE","","","","","",""
"FE0970B","CON-40-148197-4","CON-00-148196-2","CON-00-148220-2","Caramelized Onion & Emmental Fondue Chicken","with roastes mushrooms, green beans, Parmesan-chives butter","Kipfilet in Emmentalerfondue & gekaramelliseerde ui","met geroosterde champignons, sperziebonen en parmezaan-bieslookboter","Kylling i Emmental-fondue med karamelliseret løg","Hähnchen mit karamellisierten Zwiebeln & Emmentaler-Fondue","565164","","FA-NL Kipfilet in Emmentalerfondue & gekaramelliseerde ui (FE0970)","FA-NO Kylling i emmental-fondue med karamelliseret løg (FE0970)","FA-DE Hähnchen mit karamellisierten Zwiebeln & Emmentaler-Fondue (FE0970)","Active","","€4.34","","","","","TRUE","351","503.0","35.00","17.8","9.7","8.4","5.3","34.60","2.03","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Chicken breast","Chicken","Breast","Green Beans","Caramelized Onions","Creamy Sauce Base","Mushrooms","Year Round","French","","2 CT","FALSE","€3.11","€1.35","€0.41","€0.89","3.47","3.46","3.37","167","FALSE","2,102.0","","","","","","Proven","FALSE","FALSE","","","","","",""
"FE1345A","CON-40-148337-4","CON-00-148371-2","CON-00-148373-2","Pulled beef & pasta in cheese sauce","with pumpkin and green beans","Pulled beef & pasta in kaassaus","met pompoen en sperziebonen","Pulled beef & pasta i ostesauce","Pulled Beef und Pasta in Käsesauce","565158","","FA-NL Pulled beef & pasta in kaassaus (FE1345)","FA-NO Pulled beef & pasta i ostesauce (FE1345)","FA-DE Pulled Beef und Pasta in Käsesauce (FE1345)","Active","","€4.79","","","","","TRUE","404","578.0","28.90","14.8","30.2","6.0","8.4","45.80","1.97","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Shredded beef","Beef","Pulled","Pasta","Creamy Sauce Base","Green Beans","Pumpkin ","Year Round","American","","2 CT","FALSE","€2.72","€1.24","€0.41","€0.89","3.49","3.49","3.41","166","","2,415.0","","","","","","Proven","FALSE","FALSE","","","","","",""
"FE1077A","CON-40-148523-4","CON-00-148524-2","CON-00-148525-2","Pulled chicken cacciatore","with mushrooms, roasted green beans and polenta","Pulled chicken cacciatore","met champigons, geroosterde sperziebonen en polenta","Pulled Chicken Cacciatore","Pulled Chicken Cacciatore ","565162","","FA-NL Pulled chicken cacciatore (FE1077)","FA-NO Pulled chicken cacciatore (FE1077)","FA-DE Pulled chicken cacciatore (FE1077)","Active","","€4.20","","","","","TRUE","424","543.0","30.30","11.6","29.0","17.5","8.0","34.30","1.99","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Shredded chicken","Chicken","Thigh","Polenta/Grits","Green Beans","Tomato Based Sauce","","Year Round","Italian","","2 CT","FALSE","","","","€0.89","3.06","3.35","2.79","210","","2,259.0","","","","","","Hospital","FALSE","FALSE","","","","","",""
"FE4040B","CON-40-143688-4","CON-00-147896-2","CON-00-136714-3","Chicken in creamy basil sauce","with mozzarella en chili-cauliflower","Kipfilet in romige basilicumsaus ","met mozzarella en chili-bloemkool","Kylling i cremet basilikumssauce","Hähnchen in cremiger Basilikumsauce","565172","","FA-NL Kipfilet in romige basilicumsaus (FE4040)","FA-NO Kyllingebryst i cremet basilikumsauce (FE4040)","FA-DE Hähnchenbrust in cremiger Basilikumsauce (FE4040)","Active","","€5.19","","","","","TRUE","394","688.0","53.30","26.8","11.5","8.7","4.0","38.70","2.01","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Chicken breast","Chicken","Breast","Creamy Sauce Base","Cauliflower Florets","Cheese","","Year Round","American","","2 CT","FALSE","","","","€0.89","3.51","3.49","3.44","164","","2,874.0","","","","","","Proven","FALSE","FALSE","","","","","",""
"FE0943C","CON-40-148783-4","CON-00-148784-2","CON-00-148785-2","Creamy kale pork tenderloin","with courgette, bell pepper and onion in Italian seasoning","Romige boerenkool varkenshaas","met courgette, paprika en ui in Italiaanse kruiden","Cremet grønkål og svinemørbrad","Schweinefilet mit cremigem Grünkohl","565167","","FA-NL Romige boerenkool varkenshaas (FE0943)","FA-NO Cremet grønkål og svinemørbrad (FE0943)","FA-DE Schweinefilet mit cremigem Grünkohl (FE0943)","Active","","€3.75","","","","","TRUE","354","539.0","41.70","21.2","9.5","8.8","3.6","29.60","2.01","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Pork tenderloin","Pork","Tenderloin","Kale","Pepper Mix","Zucchini Diced","Other sauce","Year Round","Italian","","2 CT","FALSE","","","","€0.89","3.38","3.24","3.50","156","","2,245.0","","","","","","","FALSE","FALSE","","","","","",""
"FE0580G","CON-40-148856-4","CON-00-148857-2","CON-00-148858-2","Chicken & Creamy Broccoli Grits","with roasted green beans and almonds","Kipfilet met romige broccolirijst","met geroosterde sperziebonen en amandelen","Kylling & cremet broccoli grits","Hähnchen mit cremigem Brokkoli-Grieß","565170","HF Kip met cheddar broc rijst","FA-NL Kipfilet met romige broccolirijst (FE0580)","FA-NO Kylling & cremet broccoli grits (FE0580)","FA-DE Hähnchen mit cremigem Brokkoli-Grieß (FE0580)","Active","","€4.77","","","","","TRUE","351","586.0","46.10","21.5","8.5","4.9","7.2","31.80","1.99","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Chicken breast","Chicken","Breast","Green Beans","Broccoli rice","Compound Butter","Nuts","Year Round","American","","2 CT","FALSE","","","","€0.89","3.17","3.13","3.12","163","","2,449.0","","","","","","","FALSE","FALSE","","","","","",""
"FE1506A","CON-40-150603-4","CON-00-150602-2","CON-00-150601-2","Fajita-Style Shredded Beef & Queso","with pinto beans, roasted bell pepper and carrots","Fajita-stijl rundvlees & queso","met pintobonen, geroosterde paprika en wortels","Fajita-inspireret pulled beef & queso","Fajita-Rindfleischstreifen mit Käse-Sauce","565176","HF Fajita style pulled beef","FA-NL Fajita-stijl rundvlees & queso (FE1506)","FA-NO Fajita-inspireret pulled beef & queso (FE1506)","FA-DE Fajita-Rindfleischstreifen mit Käse-Sauce (FE1506)","Active","","€4.46","","","","","TRUE","409","522.0","24.30","10.2","28.2","14.7","10.7","42.90","1.90","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Shredded beef","Beef","Pulled","Pepper Mix","Carrots","Mixed Beans","Cherry Tomatoes","Year Round","Mexican","","2 CT","FALSE","","","","€0.89","3.26","3.61","3.46","218","","2,183.0","","","","","","New","FALSE","FALSE","","","","","",""
"FE1398A","CON-40-149082-4","CON-00-149083-2","CON-00-149084-2","Indian-Style Chicken Curry","with rice, cauliflower and courgette","Indiase-stijl curry met kip","met rijst, bloemkool en courgette","Indisk-inspireret kyllingecurry","Indisches Hähnchen-Curry","565174","","FA-NL Indiase-stijl curry met kip (FE1398)","FA-NO Indisk-inspireret kyllingecurry (FE1398)","FA-DE Indisches Hähnchen-Curry (FE1398)","Active","","€4.70","","","","","TRUE","394","405.0","19.30","6.9","27.3","8.0","5.2","28.20","1.97","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Diced chicken","Chicken","Pieces","Zucchini Half Moon","Cauliflower Florets","Rice","Tomato Based Sauce","Year Round","Indian","","2 CT","FALSE","€2.19","€1.34","€0.41","€0.89","2.96","3.24","3.50","204","","1,697.0","","","","","","Hospital","FALSE","FALSE","","","","","",""
"FE0183E","CON-40-149002-4","CON-00-149001-2","CON-00-149000-2","Garlic & Herb Chicken Breast","with roasted broccoli and cheesy cauliflower rice","Kipfilet met knoflook en kruiden","met geroosterde broccoli en kazige bloemkoolrijst","Hvidløgs- & krydderurtekyllingebryst","Hähnchenbrustfilet mit Knoblauch und Kräutern","565171","HF Kip bloemkoolrijst cheddar","FA-NL Kipfilet met knoflook en kruiden (FE0183)","FA-NO Hvidløgs- & krydderurtekyllingebryst (FE0183)","FA-DE Hähnchenbrustfilet mit Knoblauch und Kräutern (FE0183)","Active","","€4.89","","","","","TRUE","341","607.0","48.70","21.0","6.4","3.6","5.7","33.90","1.99","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Chicken breast","Chicken","Breast","Broccoli","Cauliflower Rice","","","Year Round","American","","2 CT","FALSE","€2.65","€1.08","€0.41","€0.89","3.37","3.13","3.51","154","","2,531.0","","","","","","New","FALSE","FALSE","","","","","",""
"FE0322O","CON-40-149479-4","CON-00-149481-2","CON-00-149480-2","Sour Cream & Chive Chicken","with roasted broccoli and green beans","Kip met zure room en bieslook","Met geroosterde broccoli en sperziebonen","Kylling med syrnet fløde og purløg","Hähnchen mit Sauerrahm und Schnittlauch","565163","HF Kip bieslook aardappel pure","FA-NL Kip met zure room en bieslook (FE0322)","FA-NO Kylling med cremefraiche og purløg (FE0322)","FA-DE Hähnchen mit Sauerrahm und Schnittlauch (FE0322)","Active","","€4.70","","","","","TRUE","396","459.0","26.00","11.6","21.4","4.4","9.5","30.80","2.03","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Chicken breast","Chicken","Breast","Potato Mash","Broccoli","Green Beans","Compound Butter","Year Round","American","","2 CT","FALSE","€2.42","€1.24","€0.41","€0.89","3.33","3.23","3.37","195","","1,924.0","","","","","","Proven","FALSE","FALSE","","","","","",""
"FE1346B","CON-40-150387-4","CON-00-150389-2","CON-00-150388-2","Parmesan & Garlic Cream Pulled Beef","with herb roasted potatoes, broccoli, and bell peppers","Romige parmezaan-knoflook pulled beef","met broccoli en aardappelpartjes met paprika","Pulled beef med cremet parmesan og hvidløg","Pulled Beef in Parmesan-Knoblauch-Creme","565184","HF Pulled beef & knoflook room","FA-NL Romige parmezaan-knoflook pulled beef (FE1346)","FA-NO Pulled beef med cremet parmesan og hvidløg (FE1346)","FA-DE Pulled Beef in Parmesan-Knoblauch-Creme (FE1346)","Active","","€4.13","","","","","TRUE","375","558.0","33.50","14.9","21.3","8.4","7.5","39.20","2.00","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","Shredded beef","Beef","Pulled","Potato Non-Mash","Broccoli","Creamy Sauce Base","Compound Butter","Year Round","American","","2 CT","TRUE","€2.20","€1.35","€0.41","€0.89","3.39","3.41","3.28","152","","2,329.0","","","","","","Proven","FALSE","FALSE","","","","","",""
"FE1131D","CON-40-149988-4","CON-00-149990-2","CON-00-149989-2","Tex-Mex Style Chicken Thigh Tinga","with a mix of basmati rice, cauliflower rice and black beans, courgette-paprika mix
and coriander cream","Tex-Mex stijl pulled chicken","met een mix van basmatirijst, bloemkoolrijst en zwarte bonen, courgette-paprika mix
en koriandercrème","Tinga-style Tex-Mex-kyllingelår","Tex-Mex Hähnchen-Tinga","565166","HF Tex Mex style pulled chicke","FA-NL Tex-Mex stijl pulled chicken (FE1131)","FA-NO Tinga-style Tex-Mex-kyllingelår (FE1131)","FA-DE Tex-Mex Hähnchen-Tinga (FE1131)","Active","","€4.94","","","","","TRUE","404","493.0","25.70","7.4","33.3","9.8","9.7","30.30","2.03","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Shredded chicken","Chicken","Thigh","Rice","Pepper Mix","Cupped Sauce","","Year Round","Mexican","","2 CT","TRUE","€1.68","€1.58","€0.44","€0.89","3.17","3.30","3.39","165","","2,055.0","","","","","","Hospital","FALSE","FALSE","","","","","",""
"FE0036E","CON-40-143755-4","CON-00-147814-2","CON-00-136617-3","Salmon on cheesy cauliflower rice","with spicy broccoli","Zalm op cheesy bloemkoolrijst","met pittige broccoli","Laks og ostegratineret blomkålsris","Lachs auf Blumenkohlreis in Käsecreme","565042","HF Zalm+cheesy bloemk rijst","FA-NL Zalm Op Cheesy Bloemkoolrijst (FE0036)","FA-NO Laks og ostegratineret blomkålsris (FE0036)","FA-DE Lachs auf Blumenkohlreis in Käsecreme (FE0036)","Active","Shifted to Maitre production","€6.12","","","","","TRUE","369","681.0","51.90","17.2","9.7","5.8","7.3","37.30","2.02","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Salmon","Salmon","Filet","Cauliflower Rice","Tomato Based Sauce","Broccoli","","Year Round","American","","2 CT","FALSE","","","","€0.89","3.34","3.34","3.28","182","","2,836.0","","","","","","Proven","FALSE","FALSE","","","","","",""
